Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,1012766642,,1136859709,,888679734,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,4,Afghanistan,AFG,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,23479,,26356,,20603,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,8,Albania,ALB,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,10535,,11826,,9244,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,20,Andorra,AND,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,42019,,47167,,36870,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,24,Angola,AGO,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,1393769,,1564546,,1223000,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,31,Azerbaijan,AZE,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,63456,,71231,,55681,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,32,Argentina,ARG,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,87261,,97953,,76569,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,36,Australia,AUS,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,2462309,,2764013,,2160620,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,40,Austria,AUT,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,5577832,,6261277,,4894421,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,44,Bahamas,BHS,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,86791,,97425,,76157,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,48,Bahrain,BHR,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,109012,,122370,,95656,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,51,Armenia,ARM,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,3275,,3676,,2873,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,52,Barbados,BRB,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,31129,,34943,,27315,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,60,Bermuda,BMU,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,65466,,73487,,57445,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,70,Bosnia Herzegovina,BIH,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,4289,,4814,,3763,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,76,Brazil,BRA,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,309605,,347540,,271671,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,92,Br. Virgin Isds,VGB,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,14964,,16798,,13131,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,96,Brunei Darussalam,BRN,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,3511,,3941,,3081,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,100,Bulgaria,BGR,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,24759,,27793,,21726,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,108,Burundi,BDI,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,11602,,13023,,10180,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,112,Belarus,BLR,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,15308,,17184,,13433,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,116,Cambodia,KHM,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,192999,,216647,,169352,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,120,Cameroon,CMR,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,43400,,48718,,38083,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,124,Canada,CAN,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,16667201,,18709413,,14625091,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,132,Cabo Verde,CPV,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,44502,,49955,,39050,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,136,Cayman Isds,CYM,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,48267,,54181,,42353,,,6
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,140,Central African Rep.,CAF,,,,,,,,2203,Beer made from malt.,7,Volume in litres,,,82050,,92103,,71997,,,6
