,Year,Weight,Value,Commodity,Partner,PartnerISO
0,2012,25662724,78911994,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",World,WLD
25,2012,16195480,50542796,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",USA,USA
24,2012,368000,1071988,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",United Kingdom,GBR
23,2012,30800,89020,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Switzerland,CHE
22,2012,80000,246780,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Sweden,SWE
21,2012,99120,287973,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Spain,ESP
19,2012,600,2020,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Peru,PER
18,2012,11,50,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Nicaragua,NIC
17,2012,1457000,4424951,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Netherlands,NLD
15,2012,29548,121381,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Malaysia,MYS
14,2012,105000,315584,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Japan,JPN
13,2012,35200,123562,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Italy,ITA
20,2012,8000,23335,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",South Africa,ZAF
11,2012,914250,2682301,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Germany,DEU
12,2012,426000,1216099,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Israel,ISR
1,2012,259450,329716,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Argentina,ARG
2,2012,545932,1870975,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Australia,AUS
3,2012,80000,239770,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Belgium,BEL
5,2012,1736212,5138713,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Canada,CAN
