,Year,Weight,Value,Commodity,Partner,PartnerISO
661,1999,75538,318914,"Grape wines(including fortified), alcoholic grape must",Kenya,KEN
637,1999,371170944,847885888,"Grape wines(including fortified), alcoholic grape must",Germany,DEU
636,1999,35585,53720,"Grape wines(including fortified), alcoholic grape must",Gambia,GMB
635,1999,9909,21909,"Grape wines(including fortified), alcoholic grape must",Georgia,GEO
634,1999,797312,3470900,"Grape wines(including fortified), alcoholic grape must",Gabon,GAB
633,1999,142401,359974,"Grape wines(including fortified), alcoholic grape must",Djibouti,DJI
632,1999,2562949,8390471,"Grape wines(including fortified), alcoholic grape must",French Polynesia,PYF
631,1999,7057761,27227896,"Grape wines(including fortified), alcoholic grape must",Finland,FIN
630,1999,13624,118314,"Grape wines(including fortified), alcoholic grape must",Fiji,FJI
638,1999,86500,404607,"Grape wines(including fortified), alcoholic grape must",Ghana,GHA
629,1999,442449,897992,"Grape wines(including fortified), alcoholic grape must",Estonia,EST
627,1999,80901,671425,"Grape wines(including fortified), alcoholic grape must",Equatorial Guinea,GNQ
626,1999,56288,238252,"Grape wines(including fortified), alcoholic grape must",El Salvador,SLV
625,1999,46999,135518,"Grape wines(including fortified), alcoholic grape must",Ecuador,ECU
624,1999,855514,2196051,"Grape wines(including fortified), alcoholic grape must",Dominican Rep.,DOM
623,1999,8125,36029,"Grape wines(including fortified), alcoholic grape must",Dominica,DMA
622,1999,70830824,177775200,"Grape wines(including fortified), alcoholic grape must",Denmark,DNK
621,1999,452550,1758171,"Grape wines(including fortified), alcoholic grape must",Benin,BEN
620,1999,1025288,2426514,"Grape wines(including fortified), alcoholic grape must",Czechia,CZE
628,1999,38612,171548,"Grape wines(including fortified), alcoholic grape must",Ethiopia,ETH
639,1999,15250,180149,"Grape wines(including fortified), alcoholic grape must",Gibraltar,GIB
640,1999,1779374,11465692,"Grape wines(including fortified), alcoholic grape must",Greece,GRC
641,1999,31386,146716,"Grape wines(including fortified), alcoholic grape must",Grenada,GRD
660,1999,106987,359489,"Grape wines(including fortified), alcoholic grape must",Jordan,JOR
659,1999,169288,580051,"Grape wines(including fortified), alcoholic grape must",Kazakhstan,KAZ
658,1999,59153888,348180448,"Grape wines(including fortified), alcoholic grape must",Japan,JPN
657,1999,246077,894746,"Grape wines(including fortified), alcoholic grape must",Jamaica,JAM
656,1999,2319011,6606656,"Grape wines(including fortified), alcoholic grape must",Côte d'Ivoire,CIV
655,1999,38779976,192570768,"Grape wines(including fortified), alcoholic grape must",Italy,ITA
654,1999,785823,2695766,"Grape wines(including fortified), alcoholic grape must",Israel,ISR
653,1999,11426421,51369372,"Grape wines(including fortified), alcoholic grape must",Ireland,IRL
652,1999,1597,11359,"Grape wines(including fortified), alcoholic grape must",Iraq,IRQ
651,1999,296,4219,"Grape wines(including fortified), alcoholic grape must",Iran,IRN
650,1999,71898,150286,"Grape wines(including fortified), alcoholic grape must",Indonesia,IDN
649,1999,742011,2857577,"Grape wines(including fortified), alcoholic grape must",Iceland,ISL
648,1999,114796,382210,"Grape wines(including fortified), alcoholic grape must",Hungary,HUN
647,1999,5284112,30329568,"Grape wines(including fortified), alcoholic grape must","China, Hong Kong SAR",HKG
