Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,1500224881,,1570195480,,10099954380,,,4
H4,2013,2013,2013,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,1457339106,,1520471750,,10396068571,,,4
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,1437009587,,1467244781,,10262284803,,,0
H4,2015,2015,2015,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,1454396052,,1454396052,,9177486740,,,6
H4,2016,2016,2016,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,1436423745,,1442246953,,9131930675,,,6
H3,2007,2007,2007,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,1517600810,,1517600810,,9279545137,,,4
H3,2008,2008,2008,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,1368977986,,1368977986,,10060794296,,,4
H3,2009,2009,2009,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,1252645037,,1252645037,,7690812934,,,4
H3,2010,2010,2010,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,1349240629,,1240405435,,8387975977,,,6
H3,2011,2011,2011,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,,,,,1499243193,,10014696931,,,4
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,,,1547640867,,1638101650,,5393313574,,,4
H2,2003,2003,2003,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,,,1505941148,,1553753421,,6603605815,,,4
H2,2004,2004,2004,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,,,1426879255,,1439175989,,6919139484,,,4
H2,2005,2005,2005,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,,,1385191839,,1410378298,,6961912450,,,4
H2,2006,2006,2006,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,,,1465549941,,1465549941,,7830415090,,,4
H1,1996,1996,1996,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,,,1367400704,,1367400704,,4787276288,,,0
H1,1997,1997,1997,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,,,1646350848,,1646350848,,5183636992,,,0
H1,1998,1998,1998,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,,,1740929664,,1740929664,,5904512000,,,0
H1,1999,1999,1999,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,,,1699439360,,1699439360,,6097723904,,,0
H1,2000,2000,2000,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,,,1492027455,,1631129855,,5022867298,,,4
H1,2001,2001,2001,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,,,1588253089,,1719127592,,4789606107,,,4
H0,1994,1994,1994,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,,,1252797056,,1252797056,,3938751232,,,0
H0,1995,1995,1995,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,,,1234971520,,1234971520,,4569676288,,,0
