Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,54324238204,,54324238204,,20983574666,,,6
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,5000,,5000,,3130,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,111399,,111399,,125009,,,6
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,50,Bangladesh,BGD,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,3435110,,3435110,,1351966,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,5630,,5630,,10230,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,156,China,CHN,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,40925506994,,40925506994,,15787785730,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,180,Dem. Rep. of the Congo,COD,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,29537,,29537,,58498,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,192,Cuba,CUB,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,24000,,24000,,102436,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,226,Equatorial Guinea,GNQ,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,2752,,2752,,8556,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,246,Finland,FIN,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,212000,,212000,,226055,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,251,France,FRA,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,339034710,,339034710,,129552228,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,270,Gambia,GMB,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,1080000,,1080000,,337392,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,276,Germany,DEU,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,458583268,,458583268,,176189427,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,300,Greece,GRC,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,7988000,,7988000,,3053687,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,328,Guyana,GUY,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,1466800,,1466800,,609292,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,360,Indonesia,IDN,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,4435664,,4435664,,1684145,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,364,Iran,IRN,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,551591837,,551591837,,211101228,,,0
H4,2015,2015,2015,4,0,2,Export,76,Brazil,BRA,376,Israel,ISR,,,,,,,,1201,"Oil seeds and oleaginous fruits; miscellaneous grains,seeds and fruit; industrial or medicinal plants; straw and fodder // Soya beans, whether or not broken.",8,Weight in kilograms,,,99320236,,99320236,,38007177,,,0
