,Year,Weight,Value,Commodity,Partner,PartnerISO
0,1989,4615521792,1153164928,Soya beans,World,WLD
31,1989,53858500,14521296,Soya beans,Fmr Yugoslavia,YUG
30,1989,8000000,2034500,Soya beans,USA,USA
29,1989,18587648,4528126,Soya beans,United Kingdom,GBR
28,1989,1000000,213500,Soya beans,Thailand,THA
27,1989,27700000,6238832,Soya beans,Switzerland,CHE
26,1989,601170048,146744880,Soya beans,Spain,ESP
25,1989,50528140,13957470,Soya beans,Portugal,PRT
24,1989,20100000,4444664,Soya beans,Norway,NOR
23,1989,882000,560070,Soya beans,Nicaragua,NIC
22,1989,1734391424,434476000,Soya beans,Netherlands,NLD
20,1989,235000,61524,Soya beans,Mexico,MEX
19,1989,99781376,24373048,Soya beans,Malaysia,MYS
18,1989,138672368,34228664,Soya beans,Rep. of Korea,KOR
17,1989,611870784,152821776,Soya beans,Japan,JPN
16,1989,26204520,5736304,Soya beans,Côte d'Ivoire,CIV
14,1989,1090000,280435,Soya beans,Ireland,IRL
1,1989,32245000,8509481,Soya beans,Angola,AGO
15,1989,411842560,107306472,Soya beans,Italy,ITA
3,1989,300000,69000,Soya beans,Bangladesh,BGD
4,1989,191757440,48103796,Soya beans,Belgium-Luxembourg,BEL
5,1989,1500000,318030,Soya beans,Bolivia (Plurinational State of),BOL
6,1989,6437,2575,Soya beans,Cameroon,CMR
7,1989,50000,79750,Soya beans,China,CHN
2,1989,8875,5185,Soya beans,Bahamas,BHS
9,1989,118057000,29657520,Soya beans,France,FRA
10,1989,350063488,84975064,Soya beans,Fmr Fed. Rep. of Germany,DEU
11,1989,31630000,7355824,Soya beans,Gibraltar,GIB
12,1989,3000000,642120,Soya beans,Guatemala,GTM
13,1989,64489184,17240724,Soya beans,Indonesia,IDN
8,1989,5000000,1165000,Soya beans,Fmr Ethiopia,ETH
48,1990,372375,126294,Soya beans,Paraguay,PRY
49,1990,48163440,10853072,Soya beans,Portugal,PRT
50,1990,96010000,21442308,Soya beans,Romania,ROU
51,1990,488110304,109331864,Soya beans,Spain,ESP
52,1990,74700000,17229248,Soya beans,Switzerland,CHE
55,1990,3395875,551893,Soya beans,Uruguay,URY
54,1990,28270000,6306968,Soya beans,USA,USA
56,1990,482875,120720,Soya beans,Venezuela,VEN
47,1990,45765000,10138958,Soya beans,Norway,NOR
53,1990,44378048,10019656,Soya beans,United Kingdom,GBR
