Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,41748355,,41748355,,358626395,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,8,Albania,ALB,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,31472,,31472,,31724,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,12,Algeria,DZA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,218867,,218867,,248388,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,20,Andorra,AND,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,132574,,132574,,89578,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,32,Argentina,ARG,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,31023,,31023,,49443,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,36,Australia,AUS,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1241875,,1241875,,1326821,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,40,Austria,AUT,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,127832,,127832,,1098114,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,48,Bahrain,BHR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,35003,,35003,,24998,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,50,Bangladesh,BGD,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,7937,,7937,,10947,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,70,Bosnia Herzegovina,BIH,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,113847,,113847,,180775,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,76,Brazil,BRA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,18500,,18500,,38940,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,100,Bulgaria,BGR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,13812,,13812,,16738,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,112,Belarus,BLR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,516375,,516375,,477853,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,116,Cambodia,KHM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,32144,,32144,,21731,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,120,Cameroon,CMR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,4250,,4250,,2825,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,124,Canada,CAN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1214875,,1214875,,1220993,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,132,Cabo Verde,CPV,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,22378,,22378,,14385,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,152,Chile,CHL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,57050,,57050,,31867,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,156,China,CHN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,24636,,24636,,30820,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,188,Costa Rica,CRI,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,960,,960,,1345,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,191,Croatia,HRV,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,71687,,71687,,69340,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,192,Cuba,CUB,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,98484,,98484,,66303,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,196,Cyprus,CYP,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,121828,,121828,,110592,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,203,Czechia,CZE,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,875625,,875625,,769402,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,204,Benin,BEN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,84199,,84199,,91057,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,208,Denmark,DNK,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,335062,,335062,,2816706,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,214,Dominican Rep.,DOM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,13437,,13437,,15546,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,218,Ecuador,ECU,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,9937,,9937,,7681,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,233,Estonia,EST,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,40265,,40265,,28733,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,246,Finland,FIN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,30359,,30359,,260790,,,0
H1,1999,1999,1999,4,0,2,Export,56,Belgium,BEL,251,France,FRA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1280937,,1280937,,163937031,,,0
