Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,24499490144,,24499490144,,10952196541,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,12,Algeria,DZA,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,1453354,,1453354,,1665326,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,138871,,138871,,154300,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,14080,,14080,,6985,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,36,Australia,AUS,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,94805577,,94805577,,49160283,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,50,Bangladesh,BGD,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,41564858,,41564858,,16628299,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,183482085,,183482085,,70877368,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,52940972,,52940972,,19344637,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,124,Canada,CAN,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,45,,45,,187,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,136,Cayman Isds,CYM,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,53805250,,53805250,,24500441,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,156,China,CHN,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,11823573030,,11823573030,,5324052177,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,170,Colombia,COL,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,4384085,,4384085,,1551703,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,191,Croatia,HRV,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,39747500,,39747500,,15443945,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,192,Cuba,CUB,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,51560,,51560,,89586,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,208,Denmark,DNK,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,28673098,,28673098,,13738059,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,251,France,FRA,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,234989256,,234989256,,117221042,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,276,Germany,DEU,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,982654476,,982654476,,475641419,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,300,Greece,GRC,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,117422699,,117422699,,54752871,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,320,Guatemala,GTM,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,140000,,140000,,147000,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,360,Indonesia,IDN,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,7759603,,7759603,,4561020,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,364,Iran,IRN,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,68500000,,68500000,,23442829,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,376,Israel,ISR,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,72925303,,72925303,,34687382,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,381,Italy,ITA,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,1131207040,,1131207040,,477469365,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,392,Japan,JPN,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,497668191,,497668191,,214994996,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,408,Dem. People's Rep. of Korea,PRK,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,8112149,,8112149,,3956749,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,410,Rep. of Korea,KOR,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,512505285,,512505285,,231651194,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,458,Malaysia,MYS,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,20580,,20580,,11122,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,490,"Other Asia, nes",,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,187993021,,187993021,,75714515,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,504,Morocco,MAR,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,181328573,,181328573,,83903065,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,516,Namibia,NAM,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,56,,56,,119,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,2413242409,,2413242409,,1030892422,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,579,Norway,NOR,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,403881619,,403881619,,176612727,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,581,United States Minor Outlying Islands,UMI,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,2500000,,2500000,,1105350,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,600,Paraguay,PRY,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,4830870,,4830870,,4762906,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,608,Philippines,PHL,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,102900,,102900,,63971,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,616,Poland,POL,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,150,,150,,262,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,620,Portugal,PRT,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,610368848,,610368848,,265101873,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,642,Romania,ROU,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,20197473,,20197473,,9074721,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,643,Russian Federation,RUS,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,123152030,,123152030,,57039079,,,0
H3,2008,2008,2008,4,0,2,Export,76,Brazil,BRA,682,Saudi Arabia,SAU,,,,,,,,1201,"Soya beans, whether or not broken.",8,Weight in kilograms,,,22260580,,22260580,,9780446,,,0
