Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,0902,"Tea, whether or not flavoured.",8,Weight in kilograms,,,252272427,,252272427,,331760524,,,0
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,4,Afghanistan,AFG,,,,,,,,0902,"Tea, whether or not flavoured.",8,Weight in kilograms,,,2437580,,2437580,,1582250,,,0
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,12,Algeria,DZA,,,,,,,,0902,"Tea, whether or not flavoured.",8,Weight in kilograms,,,7414654,,7414654,,11143548,,,0
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,32,Argentina,ARG,,,,,,,,0902,"Tea, whether or not flavoured.",8,Weight in kilograms,,,3540,,3540,,5832,,,0
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,0902,"Tea, whether or not flavoured.",8,Weight in kilograms,,,151151,,151151,,597445,,,0
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,40,Austria,AUT,,,,,,,,0902,"Tea, whether or not flavoured.",8,Weight in kilograms,,,21600,,21600,,21099,,,0
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,50,Bangladesh,BGD,,,,,,,,0902,"Tea, whether or not flavoured.",8,Weight in kilograms,,,967,,967,,9521,,,0
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,56,Belgium,BEL,,,,,,,,0902,"Tea, whether or not flavoured.",8,Weight in kilograms,,,312051,,312051,,612323,,,0
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,68,Bolivia (Plurinational State of),BOL,,,,,,,,0902,"Tea, whether or not flavoured.",8,Weight in kilograms,,,541,,541,,5420,,,0
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,76,Brazil,BRA,,,,,,,,0902,"Tea, whether or not flavoured.",8,Weight in kilograms,,,2431,,2431,,17254,,,0
