,Year,Weight,Value,Commodity,Partner,PartnerISO
548,1994,25596,368919,"Grape wines(including fortified), alcoholic grape mus",Algeria,DZA
665,1994,38710,252695,"Grape wines(including fortified), alcoholic grape mus",Vanuatu,VUT
666,1994,797487,6066136,"Grape wines(including fortified), alcoholic grape mus",New Zealand,NZL
667,1994,0,1265,"Grape wines(including fortified), alcoholic grape mus",Nicaragua,NIC
668,1994,36100,133577,"Grape wines(including fortified), alcoholic grape mus",Niger,NER
669,1994,338386,1001743,"Grape wines(including fortified), alcoholic grape mus",Nigeria,NGA
670,1994,8817886,16884504,"Grape wines(including fortified), alcoholic grape mus",Norway,NOR
671,1994,22898,72121,"Grape wines(including fortified), alcoholic grape mus",Pakistan,PAK
672,1994,289295,2134353,"Grape wines(including fortified), alcoholic grape mus",Panama,PAN
673,1994,898,3253,"Grape wines(including fortified), alcoholic grape mus",Papua New Guinea,PNG
674,1994,252124,2302275,"Grape wines(including fortified), alcoholic grape mus",Paraguay,PRY
675,1994,174999,904859,"Grape wines(including fortified), alcoholic grape mus",Peru,PER
676,1994,420023,1921606,"Grape wines(including fortified), alcoholic grape mus",Philippines,PHL
677,1994,3032249,3526528,"Grape wines(including fortified), alcoholic grape mus",Poland,POL
678,1994,536522,3804349,"Grape wines(including fortified), alcoholic grape mus",Portugal,PRT
679,1994,199,4338,"Grape wines(including fortified), alcoholic grape mus",Guinea-Bissau,GNB
680,1994,5125,20786,"Grape wines(including fortified), alcoholic grape mus",Qatar,QAT
681,1994,8941875,15923068,"Grape wines(including fortified), alcoholic grape mus",Réunion,REU
682,1994,39511,94714,"Grape wines(including fortified), alcoholic grape mus",Romania,ROU
683,1994,10538273,12143119,"Grape wines(including fortified), alcoholic grape mus",Russian Federation,RUS
664,1994,3019124,7821447,"Grape wines(including fortified), alcoholic grape mus",New Caledonia,NCL
684,1994,1597,9760,"Grape wines(including fortified), alcoholic grape mus",Rwanda,RWA
663,1994,204487,1801402,"Grape wines(including fortified), alcoholic grape mus",Aruba,ABW
661,1994,119703472,267876560,"Grape wines(including fortified), alcoholic grape mus",Netherlands,NLD
642,1994,1000,1807,"Grape wines(including fortified), alcoholic grape mus",Liberia,LBR
643,1994,296701,362955,"Grape wines(including fortified), alcoholic grape mus",Lithuania,LTU
644,1994,1875,15725,"Grape wines(including fortified), alcoholic grape mus","China, Macao SAR",MAC
645,1994,101374,405433,"Grape wines(including fortified), alcoholic grape mus",Madagascar,MDG
646,1994,296,3072,"Grape wines(including fortified), alcoholic grape mus",Malawi,MWI
647,1994,543210,2936182,"Grape wines(including fortified), alcoholic grape mus",Malaysia,MYS
648,1994,77886,290833,"Grape wines(including fortified), alcoholic grape mus",Maldives,MDV
649,1994,79601,189249,"Grape wines(including fortified), alcoholic grape mus",Mali,MLI
