Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,675395342,,675395342,,3710274333,,,6
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,4,Afghanistan,AFG,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,9108,,9108,,66620,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,8,Albania,ALB,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,16,,16,,522,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,12,Algeria,DZA,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1336868,,1336868,,6575535,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,20,Andorra,AND,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,559798,,559798,,4489217,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,24,Angola,AGO,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,99043,,99043,,685358,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,28,Antigua and Barbuda,ATG,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,840,,840,,4756,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,31,Azerbaijan,AZE,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,72733,,72733,,454027,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,32,Argentina,ARG,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,59636,,59636,,601023,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1381995,,1381995,,17581645,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,40,Austria,AUT,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,4045113,,4045113,,23599916,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,48,Bahrain,BHR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,366130,,366130,,2636948,,,0
