Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,1437009587,,1467244781,,10262284803,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,4,Afghanistan,AFG,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,577,,632,,14971,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,8,Albania,ALB,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,62725,,65129,,363483,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,12,Algeria,DZA,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,826383,,837176,,3454590,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,20,Andorra,AND,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,218809,,223172,,2964064,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,24,Angola,AGO,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,274498,,275586,,15651066,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,245556,,245701,,1610560,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,31,Azerbaijan,AZE,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,69291,,69566,,877802,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,32,Argentina,ARG,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,93848,,93448,,3440347,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,12948614,,13088579,,139334917,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,40,Austria,AUT,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,4097698,,4396412,,59209900,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,44,Bahamas,BHS,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,290730,,290787,,2849633,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,48,Bahrain,BHR,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,245633,,246060,,1783922,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,50,Bangladesh,BGD,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,43684,,43674,,197705,,,0
