Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,2,0,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,26352723,,,0
H4,2016,2016,2016,4,0,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,0101,"Live animals // Live horses, asses, mules and hinnies.",5,Number of items,,,1412,,642759,,22527879,,,0
H4,2016,2016,2016,6,1,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,010121,"Live animals // Live horses, asses, mules and hinnies. // - Horses : // -- Pure-bred breeding animals",5,Number of items,,,214,,102081,,1551336,,,0
H4,2016,2016,2016,6,1,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,010129,"Live animals // Live horses, asses, mules and hinnies. // - Horses : // -- Other",5,Number of items,,,1170,,531678,,20938835,,,0
H4,2016,2016,2016,6,1,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,010130,"Live animals // Live horses, asses, mules and hinnies. // -Asses",5,Number of items,,,14,,2080,,3328,,,0
H4,2016,2016,2016,6,1,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,010190,"Live animals // Live horses, asses, mules and hinnies. // -Other",5,Number of items,,,14,,6920,,34380,,,0
H4,2016,2016,2016,4,0,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,0102,Live animals // Live bovine animals.,5,Number of items,,,241,,96865,,514782,,,0
H4,2016,2016,2016,6,1,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,010221,Live animals // Live bovine animals. // - Cattle : // -- Pure-bred breeding animals,5,Number of items,,,160,,67535,,417049,,,0
H4,2016,2016,2016,6,1,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,010229,Live animals // Live bovine animals. // - Cattle : // -- Other,5,Number of items,,,33,,10530,,26952,,,0
H4,2016,2016,2016,6,1,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,010231,Live animals // Live bovine animals. // - Buffalo : // -- Pure-bred breeding animals,5,Number of items,,,11,,7130,,37746,,,0
