Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,1375818521,,1375818521,,1550426898,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,12,Algeria,DZA,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,889824,,889824,,658417,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,20,Andorra,AND,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,18390,,18390,,38026,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,24,Angola,AGO,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,401038,,401038,,258508,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,31,Azerbaijan,AZE,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,155930,,155930,,288725,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,32,Argentina,ARG,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,92078,,92078,,111820,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,36,Australia,AUS,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,3000467,,3000467,,5251126,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,40,Austria,AUT,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,4584574,,4584574,,7609651,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,44,Bahamas,BHS,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,40676,,40676,,81206,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,48,Bahrain,BHR,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,194001,,194001,,177969,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,50,Bangladesh,BGD,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,125273,,125273,,113398,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,60,Bermuda,BMU,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,123303,,123303,,148242,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,76,Brazil,BRA,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,2220720,,2220720,,5562031,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,92,Br. Virgin Isds,VGB,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,12607,,12607,,21844,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,100,Bulgaria,BGR,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,229743,,229743,,248958,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,108,Burundi,BDI,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,5650,,5650,,17007,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,112,Belarus,BLR,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,204097,,204097,,365040,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,116,Cambodia,KHM,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,7824,,7824,,26764,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,120,Cameroon,CMR,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,434407,,434407,,309967,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,124,Canada,CAN,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,37930898,,37930898,,37482894,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,132,Cabo Verde,CPV,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,274680,,274680,,203711,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,136,Cayman Isds,CYM,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,84525,,84525,,124547,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,140,Central African Rep.,CAF,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,664008,,664008,,479057,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,148,Chad,TCD,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,928895,,928895,,637642,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,152,Chile,CHL,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,411143,,411143,,1000406,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,156,China,CHN,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,8674749,,8674749,,18016732,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,170,Colombia,COL,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,242060,,242060,,414997,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,174,Comoros,COM,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,111780,,111780,,124669,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,175,Mayotte,MYT,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,1053629,,1053629,,1035024,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,178,Congo,COG,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,254016,,254016,,235638,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,180,Dem. Rep. of the Congo,COD,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,160792,,160792,,291296,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,188,Costa Rica,CRI,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,369489,,369489,,740657,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,191,Croatia,HRV,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,203273,,203273,,186579,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,196,Cyprus,CYP,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,5671724,,5671724,,6977241,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,203,Czechia,CZE,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,1447520,,1447520,,1003512,,,4
H4,2013,2013,2013,4,0,2,Export,56,Belgium,BEL,204,Benin,BEN,,,,,,,,2203,"Beverages, spirits and vinegar // Beer made from malt.",7,Volume in litres,,,7648,,7648,,5895,,,4
