,Year,Weight,Value,Commodity,Partner,PartnerISO
561,1999,84199.0,91057,Beer made from malt,Benin,BEN
562,1999,335062.0,2816706,Beer made from malt,Denmark,DNK
563,1999,13437.0,15546,Beer made from malt,Dominican Rep.,DOM
564,1999,9937.0,7681,Beer made from malt,Ecuador,ECU
565,1999,40265.0,28733,Beer made from malt,Estonia,EST
566,1999,30359.0,260790,Beer made from malt,Finland,FIN
567,1999,1280937.0,163937031,Beer made from malt,France,FRA
568,1999,4562.0,7843,Beer made from malt,French Polynesia,PYF
569,1999,125402.0,91570,Beer made from malt,Djibouti,DJI
560,1999,875625.0,769402,Beer made from malt,Czechia,CZE
570,1999,558.0,1184,Beer made from malt,Gabon,GAB
572,1999,1446437.0,21849076,Beer made from malt,Germany,DEU
573,1999,328.0,978,Beer made from malt,Ghana,GHA
574,1999,22597.0,21318,Beer made from malt,Gibraltar,GIB
575,1999,8437.0,25581,Beer made from malt,Kiribati,KIR
576,1999,212300.0,1823714,Beer made from malt,Greece,GRC
577,1999,53378.0,44446,Beer made from malt,Guinea,GIN
578,1999,1013687.0,1083626,Beer made from malt,"China, Hong Kong SAR",HKG
579,1999,229312.0,175806,Beer made from malt,Hungary,HUN
580,1999,22191.0,26986,Beer made from malt,Iceland,ISL
571,1999,30359.0,25701,Beer made from malt,Gambia,GMB
581,1999,75554.0,649027,Beer made from malt,Ireland,IRL
559,1999,121828.0,110592,Beer made from malt,Cyprus,CYP
557,1999,71687.0,69340,Beer made from malt,Croatia,HRV
537,1999,41748355.0,358626395,Beer made from malt,World,WLD
538,1999,31472.0,31724,Beer made from malt,Albania,ALB
539,1999,218867.0,248388,Beer made from malt,Algeria,DZA
540,1999,132574.0,89578,Beer made from malt,Andorra,AND
541,1999,31023.0,49443,Beer made from malt,Argentina,ARG
542,1999,1241875.0,1326821,Beer made from malt,Australia,AUS
543,1999,127832.0,1098114,Beer made from malt,Austria,AUT
544,1999,35003.0,24998,Beer made from malt,Bahrain,BHR
545,1999,7937.0,10947,Beer made from malt,Bangladesh,BGD
558,1999,98484.0,66303,Beer made from malt,Cuba,CUB
546,1999,113847.0,180775,Beer made from malt,Bosnia Herzegovina,BIH
548,1999,13812.0,16738,Beer made from malt,Bulgaria,BGR
549,1999,516375.0,477853,Beer made from malt,Belarus,BLR
