Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,0,World,WLD,,,,,,,,100850,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",8,Weight in kilograms,,,10713544,,10713544,,31124560,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,32,Argentina,ARG,,,,,,,,100850,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",8,Weight in kilograms,,,20000,,20000,,49984,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,36,Australia,AUS,,,,,,,,100850,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",8,Weight in kilograms,,,446855,,446855,,1442768,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,56,Belgium,BEL,,,,,,,,100850,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",8,Weight in kilograms,,,42000,,42000,,113919,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,76,Brazil,BRA,,,,,,,,100850,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",8,Weight in kilograms,,,228950,,228950,,597407,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,124,Canada,CAN,,,,,,,,100850,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",8,Weight in kilograms,,,591656,,591656,,1563942,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,152,Chile,CHL,,,,,,,,100850,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",8,Weight in kilograms,,,84964,,84964,,218054,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,170,Colombia,COL,,,,,,,,100850,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",8,Weight in kilograms,,,480,,480,,1731,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,188,Costa Rica,CRI,,,,,,,,100850,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",8,Weight in kilograms,,,829,,829,,8959,,,0
H4,2012,2012,2012,6,1,2,Export,604,Peru,PER,218,Ecuador,ECU,,,,,,,,100850,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",8,Weight in kilograms,,,81790,,81790,,206033,,,0
